id,season_id,rank_id,kill_death_ratio,average_damage,match_counts,is_party,create_date
374,10,22,3,1000,300,0,2021-11-12 10:33:21.980
375,10,22,3,1000,1000,0,2021-11-12 10:33:43.210
376,10,13,7.35,1760,800,0,2021-11-12 10:35:11.903
377,7,16,4.35,1026,800,0,2021-11-12 10:35:53.463
378,10,20,1.8,650,2000,0,2021-11-12 10:47:47.197
379,10,10,1.6,247,-1,1,2021-11-12 10:50:36.077
380,9,17,3.3,800,1000,0,2021-11-12 10:50:46.203
381,11,17,1.63,668,1700,1,2021-11-12 10:52:11.373
382,11,17,1.63,668,1700,1,2021-11-12 10:52:11.897
383,11,17,3.3,850,10000,0,2021-11-12 10:53:29.607
384,10,22,7,1250,300,0,2021-11-12 10:55:06.247
385,11,17,1.64,532.95,13300,1,2021-11-12 10:57:59.677
386,10,16,3.4,900,1000,0,2021-11-12 10:58:07.973
387,10,16,6.5,1300,20,1,2021-11-12 10:58:38.683
388,10,17,2.97,816.76,1730,1,2021-11-12 11:00:48.657
389,10,18,2.4,750,1500,1,2021-11-12 11:02:18.820
390,10,18,2.4,741,1510,0,2021-11-12 11:03:02.477
391,8,12,0.77,239,-1,0,2021-11-12 11:04:18.347
392,10,16,2.32,630,850,1,2021-11-12 11:06:48.333
393,10,12,0.6,800,260,0,2021-11-12 11:08:52.527
394,10,20,2.93,680,1300,1,2021-11-12 11:11:14.953
395,10,12,0.8,289,-1,0,2021-11-12 11:12:17.210
396,10,16,1.48,719.96,201,0,2021-11-12 11:13:00.037
397,10,20,2.87,841.57,1249,0,2021-11-12 11:14:11.630
398,11,16,99,1,8000,0,2021-11-12 11:15:09.483
399,10,16,1.89,586.33,77,0,2021-11-12 11:15:20.930
400,10,16,2.1,610,640,1,2021-11-12 11:16:40.400
401,11,16,0.99,450,8000,1,2021-11-12 11:16:47.893
402,9,16,1.91,590,1000,0,2021-11-12 11:17:16.213
403,11,16,0.2,30,5000,1,2021-11-12 11:17:35.450
404,11,16,0.26,140,8000,1,2021-11-12 11:18:29.027
405,11,16,6.54,1600,6000,1,2021-11-12 11:19:04.863
406,11,12,0.7,300,-1,0,2021-11-12 11:19:29.587
407,11,22,3.94,1000,4500,1,2021-11-12 11:20:05.030
408,8,13,0.23,356,5319,0,2021-11-12 11:20:06.053
409,9,22,5,1100,2600,1,2021-11-12 11:20:58.990
410,11,17,1.45,455,12000,0,2021-11-12 11:21:08.847
411,10,16,0.56,334.2,601,1,2021-11-12 11:21:17.880
412,9,20,5,1100,2600,1,2021-11-12 11:21:25.657
413,11,17,1.5,500,9800,0,2021-11-12 11:21:38.667
414,10,14,1.67,560,-1,0,2021-11-12 11:22:08.640
415,11,16,1.5,500,9800,0,2021-11-12 11:22:41.460
416,11,16,1.03,360,8850,0,2021-11-12 11:22:46.780
417,0,15,1.22,418.66,7510,0,2021-11-12 11:23:04.313
418,10,13,0.91,533,187,0,2021-11-12 11:23:13.753
419,0,8,2.56,1256,35001,0,2021-11-12 11:25:28.787
420,0,22,2.56,1256,35001,0,2021-11-12 11:25:54.400
421,0,21,2.56,1256,35001,0,2021-11-12 11:26:08.740
422,11,10,0.74,200,10000,1,2021-11-12 11:26:54.803
423,11,16,1.27,500,-1,0,2021-11-12 11:27:26.763
424,10,17,1.26,498,720,0,2021-11-12 11:28:11.173
425,10,21,8.8,1500,10000,0,2021-11-12 11:28:43.390
426,9,8,1.5,200,1000,0,2021-11-12 11:29:06.613
427,10,19,1.4,440,-1,0,2021-11-12 11:31:30.800
428,10,16,1.56,495,1560,1,2021-11-12 11:33:58.410
429,10,16,2,580,100,0,2021-11-12 11:34:35.513
430,10,12,3.79,1193,30,0,2021-11-12 11:35:05.897
431,9,12,0.53,200,1000,1,2021-11-12 11:35:43.023
432,11,21,15,1600,6000,1,2021-11-12 11:35:54.437
